x,y,z,color
2200,16,1130.98643871,#C1122A
2000,32,439.211378429,#F50504
2300,16,194.837677,#837208
2901,8,245.035164143,#C33307
2800,8,148.922305571,#33C505
2500,16,580.329816429,#E30B0F
1600,32,608.072825857,#E21704
1200,32,401.693818143,#10EA04
1600,16,1930.222718,#FE0000
2400,8,2644.84122643,#52109B
1800,2,2160.25034243,#35C405
2901,4,716.705086143,#F80501
2300,1,1038.46538529,#02FC00
2400,16,1025.30217429,#951553
1800,32,367.066961571,#EF0C03
1600,8,2867.16443229,#F30902
1800,32,468.923557143,#FD0000
2500,8,614.808596571,#FB0200
1300,8,3236.83697186,#23D703
1300,1,14159.0661947,#13E802
1200,8,2718.01731757,#0CEF02
2200,32,70.0799918571,#2ACF04
1600,2,2459.55663943,#0BF201
2700,4,3561.75941414,#661385
2700,8,631.513559857,#FE0000
1600,2,281.334779714,#18E006
1700,1,3729.51485714,#0EEE01
1700,2,855.783481714,#02FC00
1400,16,2917.86249586,#FC0200
1900,32,9105.80975286,#2C18B9
1900,4,286.738919714,#01FD00
2200,4,230.658907857,#00FE00
2200,16,1797.90532429,#5A1193
1800,32,3062.53819643,#0000FE
2500,4,125.207130143,#01FD00
2800,16,520.882719143,#C91123
2901,2,580.514376714,#56A107
1200,4,3437.22073086,#06F701
2400,32,228.88274,#FC0100
2800,4,251.772303,#20DA03
1900,2,1136.19308814,#09F401
1600,4,1794.74151357,#28D104
2901,4,728.880980714,#F90401
